RegionID,last_months_since_2000,Zillow_Home_Value_Index_last,forecast_months_since_2000_h1,Zillow_Home_Value_Index_pred_t_plus_1,forecast_months_since_2000_h3,Zillow_Home_Value_Index_pred_t_plus_3,forecast_months_since_2000_h12,Zillow_Home_Value_Index_pred_t_plus_12
394489,305,273378.7067620961,306,271362.91413747164,308,271362.91413747164,317,271362.91413747164
394490,305,183371.10330761364,306,179091.15141165286,308,179091.15141165286,317,179091.15141165286
394491,305,278065.223110587,306,275484.6147059529,308,275484.6147059529,317,275484.6147059529
394492,305,331010.32787296874,306,329266.6075062552,308,329266.6075062552,317,329266.6075062552
394493,305,485642.8302174568,306,481792.08653129695,308,481792.08653129695,317,481792.08653129695
394494,305,160518.72462285336,306,147217.00641156916,308,147217.00641156916,317,147217.00641156916
394495,305,288080.1703324525,306,294800.9181105989,308,294800.9181105989,317,294800.9181105989
394496,305,349645.6217773436,306,356317.2293035703,308,356317.2293035703,317,356317.2293035703
394498,305,137541.51759131925,306,144255.12171916815,308,144255.12171916815,317,144255.12171916815
394499,305,170163.3972599033,306,169959.13543303727,308,169959.13543303727,317,169959.13543303727
394500,305,313894.1827571853,306,313486.1684778565,308,313486.1684778565,317,313486.1684778565
394501,305,164939.0675718456,306,169132.98217301053,308,169132.98217301053,317,169132.98217301053
394502,305,222017.3783328731,306,223741.13474889915,308,223741.13474889915,317,223741.13474889915
394503,305,225948.0304577157,306,225556.66680518494,308,225556.66680518494,317,225556.66680518494
394504,305,195540.5814307863,306,196234.47944549113,308,196234.47944549113,317,196234.47944549113
394505,305,558776.2324594688,306,557762.8687412548,308,557762.8687412548,317,557762.8687412548
394506,305,174549.87934985166,306,169256.37895712935,308,169256.37895712935,317,169256.37895712935
394507,305,219375.26807722988,306,213829.14196912944,308,213829.14196912944,317,213829.14196912944
394508,305,369096.097702198,306,374991.9398593918,308,374991.9398593918,317,374991.9398593918
394509,305,300595.1067896719,306,299332.6199238179,308,299332.6199238179,317,299332.6199238179
394511,305,250325.1650535149,306,249897.12322166972,308,249897.12322166972,317,249897.12322166972
394513,305,163426.66901143163,306,162122.35514210464,308,162122.35514210464,317,162122.35514210464
394514,305,375293.228730435,306,401081.95528111997,308,401081.95528111997,317,401081.95528111997
394515,305,249070.99565492664,306,244731.6278187026,308,244731.6278187026,317,244731.6278187026
394516,305,91854.01847213472,306,91985.38121565772,308,91985.38121565772,317,91985.38121565772
394517,305,214116.712616616,306,203813.436204244,308,203813.436204244,317,203813.436204244
394518,305,162913.38095993566,306,165979.64902235908,308,165979.64902235908,317,165979.64902235908
394519,305,386185.97453828383,306,387598.62187644816,308,387598.62187644816,317,387598.62187644816
394520,305,189626.45731359936,306,192561.98698784114,308,192561.98698784114,317,192561.98698784114
394522,305,186246.2875251037,306,185349.51803243055,308,185349.51803243055,317,185349.51803243055
394523,305,228189.85377736104,306,229897.3357841713,308,229897.3357841713,317,229897.3357841713
394524,305,121260.62172740352,306,121442.1930090564,308,121442.1930090564,317,121442.1930090564
394525,305,241110.42043197845,306,240145.90123218473,308,240145.90123218473,317,240145.90123218473
394526,305,183164.86050665344,306,185996.5269120708,308,185996.5269120708,317,185996.5269120708
394527,305,211218.34584023547,306,214306.09840496478,308,214306.09840496478,317,214306.09840496478
394528,305,335686.17972279055,306,340459.0371787244,308,340459.0371787244,317,340459.0371787244
394529,305,157626.69777232027,306,160304.4911526387,308,160304.4911526387,317,160304.4911526387
394530,305,590121.5061884419,306,597529.1960021293,308,597529.1960021293,317,597529.1960021293
394531,305,296500.05827380053,306,296646.52321174974,308,296646.52321174974,317,296646.52321174974
394532,305,267718.0203829102,306,268210.1285515641,308,268210.1285515641,317,268210.1285515641
394533,305,314495.235590254,306,315721.13116353255,308,315721.13116353255,317,315721.13116353255
394535,305,177852.10251684315,306,183999.21463478866,308,183999.21463478866,317,183999.21463478866
394536,305,216160.84438207044,306,217157.15565516378,308,217157.15565516378,317,217157.15565516378
394537,305,188656.014747015,306,188410.48604433748,308,188410.48604433748,317,188410.48604433748
394538,305,144777.79901382388,306,150185.82287605482,308,150185.82287605482,317,150185.82287605482
394539,305,367824.1858871149,306,364754.92145801947,308,364754.92145801947,317,364754.92145801947
394540,305,165600.8586701205,306,167641.32967837332,308,167641.32967837332,317,167641.32967837332
394541,305,134189.3712188048,306,139929.69318642875,308,139929.69318642875,317,139929.69318642875
394542,305,271630.83795177075,306,274242.13809589035,308,274242.13809589035,317,274242.13809589035
394543,305,256783.379564618,306,257856.08843843077,308,257856.08843843077,317,257856.08843843077
394544,305,186690.8369605163,306,181980.16273480584,308,181980.16273480584,317,181980.16273480584
394545,305,135263.18512116978,306,135176.52344997544,308,135176.52344997544,317,135176.52344997544
394547,305,672142.4278221228,306,698595.312918389,308,698595.312918389,317,698595.312918389
394548,305,231796.43381998176,306,229785.6148420431,308,229785.6148420431,317,229785.6148420431
